Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
;Campus INF;Feb;10,021;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Mrz;10,427;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Apr;10,457;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Mai;11,737;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jun;11,635;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jul;11,867;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Aug;11,615;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Sep;11,515;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Okt;12,055;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Nov;11,069;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Dez;10,435;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jan;31;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Feb;34;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mrz;33;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Apr;36;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mai;55;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jun;47;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jul;50;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Aug;31;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Sep;38;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Okt;43;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Nov;62;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Dez;54;m3;Trinkwasser;;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;1194,5;MWh;Wärme;E.ON Energy Solutions GmbH;6227;2002;;15285,02
;Campus INF;Jan;252,838;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Feb;188,627;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mrz;152,366;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Apr;114,486;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mai;37,334;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jun;21,34;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jul;18,802;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Aug;16,019;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Sep;45,358;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Okt;57,72;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Nov;108,321;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Dez;181,278;MWh;Wärme;;6227;2002;;15285,02
Im Neuenheimer Feld 229;Campus INF;Jahr;1557,8;MWh;Kälte;E.ON Energy Solutions GmbH;6229;1998;;9200,64
Im Neuenheimer Feld 229;Campus INF;Jahr;1360,48497;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6229;1998;;9200,64
Im Neuenheimer Feld 229;Campus INF;Jahr;1296,047;MWh;Wärme;E.ON Energy Solutions GmbH;6229;1998;;9200,64
Im Neuenheimer Feld 230;Campus INF;Jahr;828,69;MWh;Kälte;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;376,7152;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;1301,5;MWh;Wärme;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 234;Campus INF;Jahr;247,57275;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6234;1966;;5351,07
Im Neuenheimer Feld 234;Campus INF;Jahr;1725,341;MWh;Wärme;E.ON Energy Solutions GmbH;6234;1966;;5351,07
Im Neuenheimer Feld 236;Campus INF;Jahr;631,1063;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6236;1966;;5416,64
Im Neuenheimer Feld 245;Campus INF;Jahr;87,7;MWh;Wärme;E.ON Energy Solutions GmbH;6245;;;4940,28
Im Neuenheimer Feld 253/254;Campus INF;Jahr;300;MWh;Kälte;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 252;Campus INF;Jahr;562,85157;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253/254;Campus INF;Jahr;447,58092;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253;Campus INF;Jahr;652,5;MWh;Wärme;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 267;Campus INF;Jahr;1129,641;MWh;Kälte;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;1860,22148;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;792,2;MWh;Wärme;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 269;Campus INF;Jahr;172,99564;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;149,94;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;5,421;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 270;Campus INF;Jahr;2,841;MWh;Gas;Universitätsklinikum Heidelberg;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;2926,24837;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;7121,657;MWh;Wärme;E.ON Energy Solutions GmbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;723,4;MWh;Kälte;E.ON Energy Solutions GmbH;6282;1985;;10766,11
Im Neuenheimer Feld 282;Campus INF;Jahr;135,766;MWh;Kälte;E.ON Energy Solutions GmbH;6288;;;
Im Neuenheimer Feld 293;Campus INF;Jahr;66,37777778;MWh;Öl;Haisch Mineralöle;6293;1969;;491,55
Im Neuenheimer Feld 327;Campus INF;Jahr;72,27777778;MWh;Öl;Haisch Mineralöle;6327;;;4172,31
Im Neuenheimer Feld 329;Campus INF;Jahr;327;MWh;Kälte;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;398,997;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;359,9;MWh;Wärme;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 330;Campus INF;Jahr;175,076;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6330;1969;;6158,64
Im Neuenheimer Feld 330;Campus INF;Jahr;582,7;MWh;Wärme;E.ON Energy Solutions GmbH;6330;1969;;6158,64
Im Neuenheimer Feld 340;Campus INF;Jahr;2347,4;MWh;Wärme;E.ON Energy Solutions GmbH;6340;1915;;2758
Im Neuenheimer Feld 350;Campus INF;Jahr;16,37;MWh;Kälte;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;52,378;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;146,49;MWh;Wärme;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 360;Campus INF;Jahr;458,687;MWh;Kälte;E.ON Energy Solutions GmbH;6360;1960;;3608,08
